x	y	theta1	theta2	steps1	steps2	interval
3.715	2.949	147.314	38.095	0	-1	2
3.711	2.960	147.291	38.185	0	-1	2
3.707	2.971	147.266	38.278	0	-1	2
3.703	2.981	147.243	38.368	0	-1	2
3.699	2.993	147.218	38.461	0	-1	2
3.695	3.003	147.194	38.550	0	-1	2
3.691	3.014	147.170	38.643	0	-1	2
3.687	3.025	147.146	38.733	0	-1	2
3.683	3.036	147.120	38.825	0	-1	2
3.679	3.047	147.096	38.915	0	-1	2
3.675	3.058	147.071	39.008	0	-1	2
3.671	3.069	147.046	39.097	0	-1	2
3.667	3.080	147.022	39.186	0	-1	2
3.663	3.091	146.996	39.279	0	-1	2
3.659	3.101	146.972	39.365	0	-1	2
3.655	3.112	146.946	39.458	0	-1	2
3.651	3.123	146.921	39.547	0	-1	2
3.647	3.134	146.895	39.639	0	-1	2
3.643	3.145	146.870	39.729	0	-1	2
3.639	3.156	146.843	39.821	0	-1	2
3.636	3.167	146.818	39.910	0	-1	2
3.631	3.178	146.791	40.002	0	-1	2
3.628	3.188	146.766	40.092	0	-1	2
3.623	3.200	146.739	40.184	0	-1	2
3.620	3.210	146.713	40.273	0	-1	2
3.615	3.221	146.686	40.365	0	-1	2
3.612	3.232	146.660	40.454	0	-1	2
3.608	3.243	146.633	40.546	0	-1	2
3.604	3.254	146.606	40.635	0	-1	2
3.600	3.265	146.579	40.727	0	-1	2
3.596	3.276	146.552	40.816	0	-1	2
3.592	3.287	146.525	40.908	0	-1	2
3.588	3.298	146.498	40.997	0	-1	2
3.584	3.309	146.470	41.089	0	-1	2
3.580	3.320	146.443	41.177	0	-1	2
3.576	3.331	146.415	41.269	0	-1	2
3.572	3.341	146.387	41.358	0	-1	2
3.568	3.353	146.359	41.450	0	-1	2
3.564	3.363	146.332	41.538	0	-1	2
3.560	3.374	146.303	41.630	0	-1	2
3.556	3.385	146.275	41.719	0	-1	2
3.552	3.396	146.247	41.811	0	-1	2
3.548	3.407	146.219	41.899	0	-1	2
3.544	3.418	146.191	41.988	0	-1	2
3.540	3.429	146.162	42.079	0	-1	2
3.536	3.440	146.133	42.168	0	-1	2
3.532	3.451	146.104	42.260	0	-1	2
3.528	3.461	146.076	42.348	0	-1	2
3.524	3.472	146.047	42.437	0	-1	2
3.520	3.483	146.018	42.525	0	-1	2
3.516	3.494	145.989	42.617	0	-1	2
3.512	3.505	145.960	42.705	0	-1	2
3.508	3.516	145.930	42.797	0	-1	2
3.504	3.527	145.901	42.885	0	-1	2
3.500	3.538	145.871	42.977	0	-1	2
3.496	3.548	145.842	43.065	0	-1	2
3.492	3.560	145.811	43.157	0	-1	2
3.488	3.570	145.782	43.245	0	-1	2
3.484	3.581	145.751	43.337	0	-1	2
3.480	3.592	145.721	43.425	0	-1	2
3.476	3.603	145.691	43.517	0	-1	2
3.472	3.614	145.661	43.605	0	-1	2
3.468	3.625	145.630	43.696	0	-1	2
3.464	3.636	145.600	43.785	0	-1	2
3.460	3.647	145.568	43.876	0	-1	2
3.456	3.658	145.538	43.964	0	-1	2
3.452	3.669	145.507	44.056	0	-1	2
3.448	3.680	145.476	44.144	0	-1	2
3.444	3.691	145.445	44.235	0	-1	2
3.440	3.701	145.414	44.324	0	-1	2
3.436	3.713	145.382	44.415	0	-1	2
3.432	3.723	145.351	44.503	0	-1	2
3.428	3.734	145.320	44.592	0	-1	2
3.424	3.745	145.288	44.683	0	-1	2
3.420	3.756	145.257	44.771	0	-1	2
3.416	3.767	145.224	44.863	0	-1	2
3.412	3.778	145.193	44.951	0	-1	2
3.408	3.789	145.160	45.042	0	-1	2
3.404	3.800	145.129	45.130	0	-1	2
3.400	3.811	145.096	45.222	0	-1	2
3.396	3.821	145.064	45.310	0	-1	2
3.392	3.833	145.031	45.401	0	-1	2
3.388	3.843	144.999	45.489	0	-1	2
3.384	3.854	144.966	45.581	0	-1	2
3.380	3.865	144.934	45.666	0	-1	2
3.376	3.876	144.901	45.757	0	-1	2
3.372	3.887	144.869	45.845	0	-1	2
3.368	3.898	144.835	45.937	0	-1	2
3.364	3.908	144.802	46.025	0	-1	2
3.360	3.920	144.769	46.116	0	-1	2
3.356	3.930	144.736	46.204	0	-1	2
3.352	3.941	144.702	46.296	0	-1	2
3.348	3.952	144.669	46.384	0	-1	2
