x	y
0.168	2.329
0.179	2.382
0.191	2.435
0.204	2.488
0.218	2.540
0.233	2.592
0.249	2.644
0.267	2.696
0.285	2.747
0.304	2.797
0.324	2.848
0.346	2.898
0.346	2.898
0.360	2.932
0.375	2.967
0.375	2.967
0.391	3.002
0.406	3.036
0.406	3.036
0.421	3.071
0.437	3.105
0.437	3.105
0.450	3.132
0.463	3.160
0.475	3.187
0.488	3.214
0.501	3.242
0.501	3.242
0.517	3.276
0.533	3.310
0.533	3.310
0.567	3.358
0.589	3.413
0.589	3.413
0.595	3.479
0.595	3.546
0.589	3.613
0.589	3.613
0.593	3.682
0.610	3.749
0.641	3.810
0.641	3.810
0.676	3.857
0.714	3.900
0.756	3.941
0.801	3.978
0.849	4.011
0.899	4.041
0.899	4.041
0.947	4.102
0.947	4.102
0.920	4.155
0.920	4.155
0.934	4.208
0.951	4.260
0.972	4.310
0.996	4.359
1.023	4.407
1.052	4.453
1.052	4.453
1.104	4.508
1.133	4.578
1.133	4.578
1.138	4.586
1.138	4.586
1.158	4.608
1.178	4.631
1.198	4.653
1.217	4.675
1.237	4.698
1.237	4.698
1.276	4.746
1.318	4.791
1.363	4.833
1.411	4.873
1.461	4.910
1.513	4.943
1.513	4.943
1.566	4.975
1.622	4.997
1.682	5.010
1.743	5.013
1.743	5.013
1.843	5.018
1.843	5.018
1.889	5.047
1.937	5.075
1.985	5.102
2.034	5.127
2.084	5.152
2.134	5.174
2.134	5.174
2.188	5.196
2.241	5.216
2.296	5.235
2.351	5.250
2.407	5.264
2.464	5.276
2.521	5.286
2.578	5.293
2.635	5.298
2.692	5.301
2.750	5.302
2.808	5.301
2.865	5.297
2.922	5.291
2.922	5.291
2.978	5.277
3.034	5.267
3.090	5.261
3.147	5.259
3.204	5.260
3.204	5.260
3.238	5.260
3.272	5.260
3.306	5.260
3.339	5.260
3.339	5.260
3.373	5.260
3.407	5.260
3.441	5.260
3.474	5.260
3.474	5.260
3.503	5.261
3.532	5.261
3.561	5.261
3.590	5.261
3.619	5.262
3.648	5.262
3.677	5.262
3.706	5.262
3.734	5.263
3.763	5.263
3.792	5.263
3.821	5.263
3.850	5.264
3.879	5.264
3.879	5.264
3.913	5.264
3.947	5.264
3.980	5.264
4.014	5.264
4.014	5.264
4.042	5.264
4.071	5.263
4.099	5.263
4.128	5.263
4.156	5.262
4.156	5.262
4.219	5.237
4.257	5.182
4.260	5.114
4.260	5.114
4.258	5.104
4.258	5.104
4.251	5.075
4.243	5.046
4.236	5.018
4.229	4.989
4.221	4.961
4.214	4.932
4.207	4.903
4.199	4.875
4.199	4.875
4.192	4.846
4.184	4.818
4.177	4.789
4.169	4.760
4.162	4.732
4.154	4.703
4.147	4.675
4.139	4.646
4.139	4.646
4.135	4.629
4.135	4.629
4.126	4.598
4.118	4.566
4.110	4.535
4.110	4.535
4.102	4.506
4.094	4.477
4.086	4.447
4.078	4.418
4.078	4.418
4.071	4.391
4.064	4.364
4.056	4.337
4.049	4.311
4.042	4.284
4.035	4.257
4.027	4.230
4.020	4.203
4.013	4.176
4.005	4.150
3.998	4.123
3.991	4.096
3.984	4.069
3.976	4.042
3.969	4.015
3.962	3.989
3.954	3.962
3.954	3.962
3.947	3.936
3.940	3.909
3.933	3.883
3.925	3.857
3.918	3.830
3.911	3.804
3.903	3.778
3.896	3.752
3.889	3.725
3.882	3.699
3.874	3.673
3.867	3.646
3.860	3.620
3.852	3.594
3.845	3.568
3.838	3.541
3.831	3.515
3.823	3.489
3.816	3.463
3.809	3.436
3.802	3.410
3.794	3.384
3.787	3.357
3.780	3.331
3.772	3.305
3.765	3.279
3.765	3.279
3.759	3.252
3.752	3.226
3.745	3.199
3.739	3.173
3.732	3.147
3.726	3.120
3.719	3.094
3.712	3.067
3.706	3.041
3.699	3.014
3.693	2.988
3.686	2.962
3.679	2.935
3.673	2.909
3.666	2.882
3.659	2.856
3.653	2.830
3.653	2.830
3.646	2.802
3.639	2.774
3.631	2.745
3.624	2.717
3.617	2.689
3.610	2.661
3.603	2.633
3.596	2.605
3.596	2.605
3.588	2.577
3.581	2.549
3.574	2.521
3.567	2.493
3.559	2.465
3.552	2.437
3.545	2.409
3.537	2.381
3.537	2.381
3.530	2.353
3.522	2.325
3.515	2.298
3.508	2.270
3.500	2.242
3.493	2.214
3.485	2.186
3.478	2.158
3.478	2.158
3.470	2.130
3.462	2.102
3.454	2.074
3.447	2.046
3.439	2.018
3.431	1.991
3.423	1.963
3.416	1.935
3.416	1.935
3.408	1.907
3.400	1.879
3.392	1.851
3.384	1.824
3.376	1.796
3.368	1.768
3.360	1.740
3.352	1.713
3.352	1.713
3.343	1.685
3.335	1.657
3.327	1.629
3.318	1.602
3.310	1.574
3.301	1.546
3.293	1.519
3.285	1.491
3.285	1.491
3.222	1.437
3.222	1.437
3.162	1.426
3.102	1.426
3.102	1.426
3.071	1.424
3.040	1.423
3.009	1.421
3.009	1.421
2.950	1.419
2.891	1.418
2.831	1.418
2.772	1.418
2.713	1.419
2.654	1.422
2.595	1.425
2.536	1.428
2.477	1.433
2.418	1.439
2.359	1.445
2.359	1.445
2.306	1.457
2.252	1.471
2.199	1.486
2.147	1.503
2.095	1.521
2.044	1.541
1.993	1.562
1.943	1.585
1.894	1.610
1.845	1.636
1.797	1.663
1.750	1.692
1.704	1.722
1.659	1.754
1.615	1.787
1.572	1.821
1.530	1.856
1.488	1.893
1.488	1.893
1.435	1.962
1.435	1.962
1.383	1.944
1.337	1.914
1.337	1.914
1.308	1.898
1.280	1.881
1.251	1.864
1.223	1.848
1.223	1.848
1.192	1.830
1.162	1.813
1.162	1.813
1.114	1.787
1.064	1.764
1.013	1.745
0.961	1.729
0.908	1.716
0.854	1.707
0.800	1.702
0.745	1.700
0.691	1.701
0.636	1.706
0.636	1.706
0.575	1.720
0.517	1.745
0.465	1.781
0.499	1.857
0.444	1.914
0.370	1.943
0.370	1.943
0.320	1.991
0.290	2.053
0.290	2.053
0.337	2.018
0.388	1.988
0.441	1.964
0.441	1.964
0.497	1.959
0.552	1.966
0.604	1.983
0.604	1.983
0.658	2.011
0.710	2.041
0.762	2.072
0.812	2.105
0.861	2.140
0.909	2.177
0.909	2.177
0.959	2.215
1.019	2.233
1.019	2.233
1.073	2.218
1.124	2.194
1.124	2.194
1.176	2.184
1.219	2.216
1.219	2.216
1.180	2.284
1.180	2.284
1.117	2.310
1.050	2.323
