x	y
8.935	7.271
8.925	7.290
8.915	7.310
8.904	7.330
8.893	7.348
8.877	7.352
8.868	7.333
8.860	7.312
8.852	7.291
8.845	7.271
8.837	7.250
8.829	7.229
8.821	7.209
8.813	7.188
8.806	7.168
8.798	7.148
8.790	7.127
8.782	7.106
8.774	7.086
8.766	7.065
8.758	7.045
8.749	7.025
8.741	7.004
8.733	6.983
8.722	6.966
8.713	6.985
8.705	7.006
8.698	7.026
8.691	7.047
8.683	7.067
8.676	7.088
8.669	7.109
8.662	7.130
8.655	7.151
8.647	7.172
8.640	7.193
8.633	7.214
8.626	7.235
8.614	7.250
8.593	7.253
8.571	7.257
8.550	7.260
8.528	7.263
8.506	7.266
8.484	7.269
8.463	7.271
8.441	7.274
8.419	7.276
8.397	7.279
8.375	7.281
8.353	7.284
8.331	7.286
8.315	7.296
8.303	7.315
8.292	7.334
8.281	7.353
8.270	7.372
8.259	7.392
8.248	7.410
8.237	7.429
8.226	7.448
8.214	7.467
8.202	7.485
8.192	7.489
8.187	7.467
8.182	7.446
8.178	7.424
8.173	7.403
8.169	7.381
8.164	7.359
8.160	7.338
8.156	7.316
8.151	7.295
8.147	7.273
8.143	7.252
8.138	7.230
8.134	7.208
8.129	7.187
8.125	7.165
8.121	7.144
8.116	7.122
8.112	7.100
8.107	7.079
8.103	7.057
8.098	7.035
8.090	7.025
8.080	7.044
8.070	7.063
8.060	7.083
8.050	7.102
8.040	7.122
8.030	7.142
8.020	7.162
8.010	7.182
8.000	7.201
7.990	7.221
7.981	7.241
7.971	7.261
7.961	7.281
7.941	7.281
7.919	7.278
7.897	7.275
7.875	7.271
7.854	7.267
7.832	7.262
7.810	7.258
7.788	7.253
7.767	7.248
7.746	7.243
7.725	7.237
7.704	7.232
7.683	7.225
7.661	7.222
7.642	7.232
7.624	7.243
7.605	7.255
7.587	7.267
7.569	7.280
7.551	7.293
7.533	7.306
7.515	7.319
7.498	7.332
7.480	7.344
7.462	7.357
7.449	7.359
7.454	7.338
7.459	7.316
7.463	7.294
7.468	7.273
7.473	7.252
7.478	7.230
7.483	7.209
7.488	7.188
7.493	7.166
7.498	7.144
7.503	7.123
7.508	7.101
7.513	7.080
7.518	7.059
7.523	7.037
7.528	7.016
7.534	6.994
7.538	6.973
7.543	6.951
7.548	6.929
7.553	6.908
7.558	6.887
7.563	6.865
7.567	6.843
7.571	6.822
7.556	6.831
7.540	6.847
