x	y	theta1	theta2	steps1	steps2	interval
0.059	5.709	149.192	82.786	0	0	0
0.058	5.709	149.196	82.787	0	0	0
0.058	5.709	149.200	82.788	0	0	0
0.058	5.708	149.204	82.789	0	0	0
0.057	5.708	149.208	82.790	0	0	0
0.057	5.708	149.212	82.792	0	0	0
0.057	5.707	149.216	82.793	0	0	0
0.056	5.707	149.219	82.794	0	0	0
0.056	5.707	149.223	82.795	0	0	0
0.056	5.706	149.227	82.796	0	0	0
0.055	5.706	149.231	82.797	0	0	0
0.055	5.705	149.235	82.798	0	0	0
0.055	5.705	149.239	82.799	0	0	0
0.054	5.705	149.243	82.800	0	0	0
0.054	5.704	149.247	82.801	0	0	0
0.054	5.704	149.251	82.802	0	0	0
0.053	5.704	149.255	82.803	0	0	0
0.053	5.703	149.259	82.804	0	0	0
0.052	5.703	149.263	82.805	0	0	0
0.052	5.703	149.267	82.806	0	0	0
0.052	5.702	149.271	82.807	0	0	0
0.051	5.702	149.275	82.808	0	0	0
0.051	5.701	149.279	82.809	0	0	0
0.051	5.701	149.283	82.810	0	0	0
0.050	5.701	149.287	82.811	0	0	0
0.050	5.700	149.291	82.812	0	0	0
0.050	5.700	149.294	82.813	0	0	0
0.049	5.700	149.298	82.814	0	0	0
0.049	5.699	149.302	82.815	0	0	0
0.049	5.699	149.306	82.816	0	0	0
0.048	5.699	149.310	82.817	0	0	0
0.048	5.698	149.314	82.818	0	0	0
0.048	5.698	149.318	82.819	0	0	0
0.047	5.698	149.322	82.820	0	0	0
0.047	5.697	149.326	82.821	0	0	0
0.046	5.697	149.330	82.822	0	0	0
0.046	5.696	149.334	82.823	0	0	0
0.046	5.696	149.338	82.824	0	0	0
0.045	5.696	149.342	82.825	0	0	0
0.045	5.695	149.346	82.826	0	0	0
0.045	5.695	149.350	82.827	0	0	0
0.044	5.695	149.354	82.828	0	0	0
0.044	5.694	149.358	82.829	0	0	0
0.044	5.694	149.362	82.830	0	0	0
0.044	5.694	149.362	82.830	0	0	0
0.043	5.693	149.366	82.830	0	0	0
0.043	5.693	149.370	82.830	0	0	0
0.043	5.693	149.374	82.830	0	0	0
0.042	5.692	149.378	82.831	0	0	0
0.042	5.692	149.382	82.831	0	0	0
0.042	5.691	149.386	82.831	0	0	0
0.042	5.691	149.390	82.831	0	0	0
0.041	5.691	149.394	82.831	0	0	0
0.041	5.690	149.399	82.831	0	0	0
0.041	5.690	149.403	82.832	0	0	0
0.040	5.689	149.407	82.832	0	0	0
0.040	5.689	149.411	82.832	0	0	0
0.040	5.689	149.415	82.832	0	0	0
0.040	5.688	149.419	82.832	0	0	0
0.039	5.688	149.423	82.832	0	0	0
0.039	5.687	149.427	82.832	0	0	0
0.039	5.687	149.432	82.833	0	0	0
0.038	5.686	149.436	82.833	0	0	0
0.038	5.686	149.440	82.833	0	0	0
0.038	5.686	149.444	82.833	0	0	0
0.038	5.685	149.448	82.833	0	0	0
0.037	5.685	149.452	82.833	0	0	0
0.037	5.684	149.456	82.833	0	0	0
0.037	5.684	149.460	82.834	0	0	0
0.036	5.684	149.465	82.834	0	0	0
0.036	5.683	149.469	82.834	0	0	0
0.036	5.683	149.473	82.834	0	0	0
0.036	5.682	149.477	82.834	0	0	0
0.035	5.682	149.481	82.834	0	0	0
0.035	5.681	149.485	82.835	0	0	0
0.035	5.681	149.489	82.835	0	0	0
0.034	5.681	149.493	82.835	0	0	0
0.034	5.680	149.497	82.835	0	0	0
0.034	5.680	149.502	82.835	0	0	0
0.034	5.679	149.506	82.835	0	0	0
0.033	5.679	149.510	82.835	0	0	0
0.033	5.679	149.514	82.836	0	0	0
0.033	5.678	149.518	82.836	0	0	0
0.032	5.678	149.522	82.836	0	0	0
0.032	5.677	149.526	82.836	0	0	0
0.032	5.677	149.530	82.836	0	0	0
0.032	5.677	149.535	82.836	0	0	0
0.031	5.676	149.539	82.837	0	0	0
0.031	5.676	149.543	82.837	0	0	0
0.031	5.675	149.547	82.837	0	0	0
0.030	5.675	149.551	82.837	0	0	0
